Designator,Mid X,Mid Y,Rotation,Layer
C1,179.85,-97.65,0.0,top
C101,212.6,-126.45,90.0,top
C102,218.5,-137.2,270.0,top
C103,212.6,-137.2,90.0,top
C104,240.55,-118.2,180.0,top
C105,232.45,-118.2,0.0,top
C106,213.7,-118.2,180.0,top
C107,222.15,-118.2,0.0,top
C108,237.75,-135.25,180.0,top
C2,179.775,-122.0,0.0,top
C201,212.5,-97.0,90.0,top
C202,218.5,-108.5,270.0,top
C203,212.5,-108.5,90.0,top
C204,240.45,-89.0,180.0,top
C205,232.3,-89.0,0.0,top
C206,213.4,-88.85,180.0,top
C207,221.7,-88.85,0.0,top
C208,237.6,-106.65,180.0,top
C27,194.25,-117.75,90.0,top
C28,194.5,-110.75,270.0,top
C29,170.93,-116.7025,270.0,top
C3,179.775,-134.375,0.0,top
C30,163.9125,-119.75,0.0,top
C31,179.825,-109.75,0.0,top
C32,189.21,-115.8625,90.0,top
C33,218.25,-44.65,180.0,top
D5,155.2,-112.9,180.0,top
D6,156.4,-123.95,0.0,top
D7,218.25,-58.5,180.0,top
D8,218.275,-51.3,0.0,top
K1,214.63,-67.0,90.0,top
P10,170.815,-174.625,0.0,top
P8,177.58444026545644,-73.81784933506337,319.0,top
P9,239.395,-66.675,90.0,top
Q1,210.1375,-50.125,90.0,top
R102,216.95,-126.0,270.0,top
R103,220.3,-125.95,90.0,top
R104,226.0,-135.45,270.0,top
R105,222.85,-135.45,90.0,top
R106,229.15,-135.45,270.0,top
R107,232.4,-135.45,90.0,top
R108,242.0,-126.3,90.0,top
R109,238.55,-126.3,90.0,top
R110,235.585,-126.35,270.0,top
R111,248.3,-126.35,90.0,top
R112,245.11,-126.35,270.0,top
R19,156.2,-117.25,180.0,top
R20,156.25,-119.8,0.0,top
R202,217.17,-97.1,270.0,top
R203,220.5,-97.1,90.0,top
R204,226.0,-106.75,270.0,top
R205,223.0,-106.7625,90.0,top
R206,229.1,-106.65,90.0,top
R207,232.4,-106.65,90.0,top
R208,241.9,-96.65,90.0,top
R209,238.6,-96.65,90.0,top
R21,218.275,-47.325,0.0,top
R210,235.6,-96.7,270.0,top
R211,248.285,-96.65,90.0,top
R212,245.11,-96.65,270.0,top
R22,218.0,-54.875,0.0,top
RV1,230.505,-51.1,180.0,top
TP1,189.25,-130.715,0.0,top
TP2,189.3,-126.6,0.0,top
U5,226.7712,-126.365,0.0,top
U6,226.695,-97.155,0.0,top
U7,164.0,-103.75,90.0,top
